"par_id","par_reg_id","par_tipo_par"
1,1,1
2,2,2
3,2,3
4,2,4
5,3,5
6,3,6
7,3,3
8,3,4
9,4,5
10,4,6
11,4,3
12,4,4
13,5,5
14,5,6
16,5,3
17,5,4
18,6,5
22,7,5
23,7,6
25,7,3
26,7,4
19,6,6
20,6,3
21,6,4
27,8,5
28,8,6
29,8,3
30,8,4
31,9,5
32,9,6
33,9,3
34,9,4
39,10,2
40,10,3
41,10,4
42,11,5
43,11,6
44,11,3
45,11,4
46,12,5
47,12,6
48,12,3
49,12,4
50,13,5
51,13,6
52,13,3
53,13,4
54,14,7
55,14,8
56,14,9
57,14,4
58,15,10
59,15,3
60,15,4
61,16,2
62,16,3
63,16,4
65,18,5
66,18,6
67,18,3
68,18,4
69,19,2
70,19,3
71,19,4
72,20,5
73,20,6
74,20,3
75,20,4
76,21,5
77,21,6
78,21,3
79,21,4
80,22,11
81,22,12
82,22,7
83,22,8
84,22,4
85,23,11
86,23,12
87,23,7
88,23,8
89,23,4
90,24,2
91,24,3
92,24,4
93,25,13
94,25,14
95,25,3
96,25,4
97,26,13
98,26,14
99,26,3
100,26,4
101,27,13
102,27,14
103,27,3
104,27,4
105,28,15
106,28,16
107,28,17
108,28,6
109,28,3
110,28,4
111,29,15
112,29,16
113,29,17
114,29,6
115,29,3
116,29,4
117,30,2
118,30,19
119,30,18
120,30,6
121,30,3
122,30,4
123,31,15
124,31,20
125,31,3
126,31,4
127,32,2
128,32,19
129,32,18
130,32,6
131,32,3
132,32,4
133,33,15
134,33,20
135,33,3
136,33,4
137,34,2
138,34,19
139,34,18
140,34,6
141,34,3
142,34,4
143,35,15
144,35,20
145,35,3
146,35,4
147,36,6
148,36,5
149,36,3
150,36,4
151,37,15
152,37,20
153,37,3
154,37,4
155,38,6
156,38,5
157,38,3
158,38,4
159,39,15
160,39,20
161,39,3
162,39,4
