MODELO,100cc,150cc,300cc,500cc,750cc,800cc
2022,5092.2,8455.95,11183.75,15920.6,20957.6,27312.5
2021,4840.99,8225.2,10804.25,15517.8,20250.14,26754.51
2020,4589.77,8024.3,10450.21,14771.2,19564.21,25427.33
2019,4338.56,7624.12,9950.32,14224.85,18950.42,24100.15
2018,4150.26,7020.75,8880.56,13105.1,16025.45,20010.1
2017,3628.24,6327.25,7842.15,11056.1,14562.45,18150.25
2016,2927.9,5452.8,7110.45,10292.5,13985.12,16942.2
2015,2346,4750.15,6450.14,9486.35,13553.9,15895.2
2014,1975.2,4251.58,6115.21,9045.42,12774.2,14950.2
2013,1818.15,3919.2,5793.7,8440.2,12100.2,14020.3
2012,1590.45,3461.5,4962.25,7564.2,10650.2,12100.1
2011,1358.2,2912.5,4288.75,6749.6,8841.2,10463.85
2010,1167.25,2763.75,3810.15,6003,8278.75,9726.7
2009,1047.65,2150.45,3528.2,5468.25,7475,8731.95
