MODELO,CILINDRADA_DESDE,CILINDRADA_HASTA,VALOR
2011,0,100,8065.06
2011,101,150,17474.38
2011,151,300,28669.87
2012,0,100,8065.06
2012,101,150,17474.38
2012,151,300,28669.87
2013,0,100,8985.77
2013,101,150,22458.01
2013,151,300,30960.97
2014,0,100,10455.75
2014,101,150,23666.74
2014,151,300,34850.04
2015,0,100,12243.67
2015,101,150,28127.87
2015,151,300,40322.85
2016,0,100,13996.56
2016,101,150,31847.11
2016,151,300,47079.14
2017,0,100,15205.56
2017,101,150,34548
2017,151,300,49691.71
2018,0,100,18060.07
2018,101,150,38599.34
2018,151,300,52413.32
2019,0,100,22539.68
2019,101,150,44309.02
2019,151,300,57778.95
2020,0,100,27931.06
2020,101,150,51414.73
2020,151,300,63724.68
2021,0,100,31949.7
2021,101,150,57050.05
2021,151,300,72162.72
2022,0,100,33399.28
2022,101,150,61952.99
2022,151,300,80855.5
2023,0,100,35333.15
2023,101,150,65204.82
2023,151,300,84917.57
2024,0,100,37267.1
2024,101,150,66837.32
2024,151,300,87794.47
2025,0,100,39200.98
2025,101,150,68712.37
2025,151,300,90878.26
