MODELO,CC,VALOR
2022,100,5092.2
2021,100,4840.99
2020,100,4589.77
2019,100,4338.56
2018,100,4150.26
2017,100,3628.24
2016,100,2927.9
2015,100,2346.0
2014,100,1975.2
2013,100,1818.15
2012,100,1590.45
2011,100,1358.2
2010,100,1167.25
2009,100,1047.65
2022,150,8455.95
2021,150,8225.2
2020,150,8024.3
2019,150,7624.12
2018,150,7020.75
2017,150,6327.25
2016,150,5452.8
2015,150,4750.15
2014,150,4251.58
2013,150,3919.2
2012,150,3461.5
2011,150,2912.5
2010,150,2763.75
2009,150,2150.45
2022,300,11183.75
2021,300,10804.25
2020,300,10450.21
2019,300,9950.32
2018,300,8880.56
2017,300,7842.15
2016,300,7110.45
2015,300,6450.14
2014,300,6115.21
2013,300,5793.7
2012,300,4962.25
2011,300,4288.75
2010,300,3810.15
2009,300,3528.2
2022,500,15920.6
2021,500,15517.8
2020,500,14771.2
2019,500,14224.85
2018,500,13105.1
2017,500,11056.1
2016,500,10292.5
2015,500,9486.35
2014,500,9045.42
2013,500,8440.2
2012,500,7564.2
2011,500,6749.6
2010,500,6003.0
2009,500,5468.25
2022,750,20957.6
2021,750,20250.14
2020,750,19564.21
2019,750,18950.42
2018,750,16025.45
2017,750,14562.45
2016,750,13985.12
2015,750,13553.9
2014,750,12774.2
2013,750,12100.2
2012,750,10650.2
2011,750,8841.2
2010,750,8278.75
2009,750,7475.0
2022,800,27312.5
2021,800,26754.51
2020,800,25427.33
2019,800,24100.15
2018,800,20010.1
2017,800,18150.25
2016,800,16942.2
2015,800,15895.2
2014,800,14950.2
2013,800,14020.3
2012,800,12100.1
2011,800,10463.85
2010,800,9726.7
2009,800,8731.95
